/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/DCN/run_raw_mnist.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/theano/gpuarray/dnn.py:135: UserWarning: Your cuDNN version is more recent than Theano. If you encounter problems, try updating Theano or downgrading cuDNN to version 5.1.
  warnings.warn("Your cuDNN version is more recent than "
Using cuDNN version 7001 on context None
Mapped name None to device cuda: TITAN Xp (0000:03:00.0)
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  3.15046291348
Pre-training layer 0, epoch 1, cost  0.994174812968
Pre-training layer 0, epoch 2, cost  0.801133030598
Pre-training layer 0, epoch 3, cost  0.712675991286
Pre-training layer 0, epoch 4, cost  0.658273337788
Pre-training layer 0, epoch 5, cost  0.620295910233
Pre-training layer 0, epoch 6, cost  0.591206603683
Pre-training layer 0, epoch 7, cost  0.568041332687
Pre-training layer 0, epoch 8, cost  0.548981143696
Pre-training layer 0, epoch 9, cost  0.532743099705
Pre-training layer 0, epoch 10, cost  0.518683363998
Pre-training layer 0, epoch 11, cost  0.506388181788
Pre-training layer 0, epoch 12, cost  0.495481669068
Pre-training layer 0, epoch 13, cost  0.485699685786
Pre-training layer 0, epoch 14, cost  0.476832485362
Pre-training layer 0, epoch 15, cost  0.46875472528
Pre-training layer 0, epoch 16, cost  0.46135799968
Pre-training layer 0, epoch 17, cost  0.454520025235
Pre-training layer 0, epoch 18, cost  0.448208452394
Pre-training layer 0, epoch 19, cost  0.44224858866
Pre-training layer 0, epoch 20, cost  0.436258764767
Pre-training layer 0, epoch 21, cost  0.430946851253
Pre-training layer 0, epoch 22, cost  0.426004166138
Pre-training layer 0, epoch 23, cost  0.421370822223
Pre-training layer 0, epoch 24, cost  0.417013132807
Pre-training layer 0, epoch 25, cost  0.412890265234
Pre-training layer 0, epoch 26, cost  0.408979839135
Pre-training layer 0, epoch 27, cost  0.405278588987
Pre-training layer 0, epoch 28, cost  0.40172757075
Pre-training layer 0, epoch 29, cost  0.398214014714
